,decision_date_in,curr_change_in,category_in
0,1997-04-16,0.1955307262569761,depreciation
1,1997-06-26,0.0,hold
2,1997-07-14,-0.20964360587001352,appreciation
3,1997-09-02,0.16442861057823777,hold
4,1997-10-22,0.0,hold
5,1997-11-30,0.9009009009009139,depreciation
6,1998-01-19,-1.114384526706791,appreciation
7,1998-03-19,-0.050594485201116424,hold
8,1998-04-03,0.0,hold
9,1998-04-29,-0.050327126321092486,hold
10,1998-05-06,-0.03771213073539004,hold
11,1998-06-25,0.12886597938144284,hold
12,1998-08-14,0.0,hold
13,1998-10-03,-0.16489988221437546,hold
14,1998-11-22,0.10619469026549311,hold
15,1999-01-11,-0.047058823529422256,hold
16,1999-03-02,0.07062146892655718,hold
17,2000-04-03,0.04584001833600748,hold
18,2000-06-04,0.07840501792113486,hold
19,2000-07-24,0.24583752374567336,depreciation
20,2000-09-22,0.0,hold
21,2000-11-11,0.10699764605179851,hold
22,2000-12-31,0.05356186395286677,hold
23,2001-02-19,0.15899959175782463,hold
24,2001-03-02,0.0,hold
25,2001-04-03,-0.11796246648793085,hold
26,2001-04-27,0.0,hold
27,2001-04-30,-0.010676916506502376,hold
28,2001-06-07,0.02129018522460946,hold
29,2001-07-21,0.0,hold
30,2001-09-09,0.3067809161112711,depreciation
31,2001-10-29,0.07296226808422013,hold
32,2001-12-18,-0.06272869837951056,hold
33,2002-02-06,0.030807147258160583,hold
34,2002-03-28,0.0,hold
35,2002-04-26,0.0,hold
36,2002-06-15,-0.010205122971718161,hold
37,2002-08-04,0.10276436131948508,hold
38,2002-09-23,0.0309981401116044,hold
39,2002-11-12,-0.010358400662946465,hold
40,2002-12-17,-0.10387451958033811,hold
41,2003-01-16,-0.04171881518564291,hold
42,2003-03-07,0.0,hold
43,2003-03-19,-0.05241639584862012,hold
44,2003-04-16,0.013726546084247282,hold
45,2003-06-05,-0.026648190587852394,hold
46,2003-07-25,0.0,hold
47,2003-09-13,0.08743169398905959,hold
48,2003-11-02,0.0,hold
49,2003-12-22,-0.10982976386599841,hold
50,2004-02-10,-0.03316382931680684,hold
51,2004-03-31,0.30963302752293753,depreciation
52,2005-05-29,0.37600806683160126,depreciation
53,2005-07-18,-0.05442645539098789,hold
54,2005-09-06,-0.16516687549835707,hold
55,2005-10-26,0.02773463501219986,hold
56,2005-12-05,-0.21593608291945454,appreciation
57,2006-01-24,-0.20332090816672643,appreciation
58,2006-02-28,-0.030862806938503073,hold
59,2006-04-19,0.09422980987749963,hold
60,2006-06-08,-0.048931658783235576,hold
61,2006-07-25,-0.49187339606500124,appreciation
62,2006-09-11,-0.20000000000000018,appreciation
63,2006-10-31,-0.30933214900349393,appreciation
64,2006-12-12,-0.3813559322034088,appreciation
65,2007-01-31,-0.1414587223448227,hold
66,2007-02-12,-0.04235560588899956,hold
67,2007-04-03,-0.28327954118002596,appreciation
68,2007-06-28,-0.2754989592261614,appreciation
69,2007-08-17,0.0,hold
70,2007-10-06,-0.1007753115678911,hold
71,2007-11-25,0.24180446582622306,depreciation
72,2008-01-14,0.006362537379911437,hold
73,2008-03-04,-0.18605805011163712,hold
74,2008-04-23,0.19024412165637994,depreciation
75,2008-06-12,0.22476368304353844,depreciation
76,2008-06-25,0.3275620028076798,depreciation
77,2008-07-30,-0.016997287516196113,hold
78,2008-08-31,1.0469416785206187,depreciation
79,2008-10-20,0.5712536978476068,depreciation
80,2008-11-03,-2.479736382828701,appreciation
81,2008-12-08,-1.1644905983767773,appreciation
82,2009-01-05,0.4118192113662156,depreciation
83,2009-03-05,-0.11107355000723462,hold
84,2009-04-21,-1.0258189206600932,appreciation
85,2009-05-23,0.3367189107875257,depreciation
86,2009-07-12,-0.11733496581982639,hold
87,2009-08-31,0.27649769585254,depreciation
88,2009-10-20,1.3730210366514894,depreciation
89,2009-12-09,0.0,hold
90,2010-01-28,-0.3893551803652917,appreciation
91,2010-03-19,0.0,hold
92,2010-04-20,0.08830210554460205,hold
93,2010-07-02,0.0,hold
94,2010-07-27,-0.2879485806106086,appreciation
95,2010-09-16,-0.6824829379265429,appreciation
96,2010-11-02,-0.3801261829653013,appreciation
97,2010-12-16,0.0,hold
98,2011-01-25,-0.30914775424831786,appreciation
99,2011-03-17,-0.13145955516211671,hold
100,2011-05-03,0.555992362125135,depreciation
101,2011-06-16,-0.09196682068696171,hold
102,2011-07-26,-0.2462374108860521,appreciation
103,2011-09-16,0.0,hold
104,2011-10-25,-0.2777356966116251,appreciation
105,2011-12-27,0.05185988402243158,hold
106,2012-02-21,-0.21802487714551733,appreciation
107,2012-04-17,1.2844842153924452,depreciation
108,2012-06-18,0.40450643776823725,depreciation
109,2012-07-31,0.32342107627347794,depreciation
110,2012-09-17,-0.023144933574048565,hold
111,2012-10-30,-0.4840066560180323,appreciation
112,2012-12-18,0.006927833848657805,hold
113,2013-01-29,-1.0251975825197546,appreciation
114,2013-03-19,-0.17011494252874293,hold
115,2013-05-03,0.0,hold
116,2013-06-17,1.468936317290237,depreciation
117,2013-07-30,-0.05786558650904272,hold
118,2013-09-20,0.0,hold
119,2013-10-29,0.2812996860858563,depreciation
120,2013-12-18,-0.1046614604299112,hold
121,2014-01-28,0.09597696552827717,hold
122,2014-04-01,0.47587243279345603,depreciation
123,2014-06-03,-0.0988381882471856,hold
124,2014-08-05,0.6327293643946019,depreciation
125,2014-09-30,-0.2388373881714756,appreciation
126,2014-12-02,0.08483477417791097,hold
127,2015-01-14,-0.5126324997427267,appreciation
128,2015-02-03,0.10539116335630538,hold
129,2015-03-03,0.4158759639843357,depreciation
130,2015-04-07,-0.013974781142089832,hold
131,2015-06-02,0.28405797101447305,depreciation
132,2015-08-04,0.021489757855919223,hold
133,2015-09-24,0.0,hold
134,2015-09-29,-0.6709119854446111,appreciation
135,2015-11-05,0.028443227621854916,hold
136,2015-12-01,0.24452525106697376,depreciation
137,2015-12-16,-0.4833270887972918,appreciation
138,2016-02-02,-0.6085505992833418,appreciation
139,2016-02-04,0.1258001258001462,hold
140,2016-03-31,0.0,hold
141,2016-04-05,0.007523039307866242,hold
142,2016-05-05,0.0,hold
143,2016-06-07,-0.08236615499813693,hold
144,2016-06-30,-0.29988893002591555,appreciation
145,2016-08-04,-0.21294496157276965,appreciation
146,2016-08-09,0.0019448704043023568,hold
147,2016-09-29,-0.35898586493158247,appreciation
148,2016-10-04,0.36111947035812886,depreciation
149,2016-11-03,-0.0674157303370837,hold
150,2016-12-07,-0.32157906409403525,appreciation
151,2016-12-22,-0.24268274746285234,appreciation
152,2017-02-02,-0.08148580232346658,hold
153,2017-02-08,-0.45215869311551193,appreciation
154,2017-03-30,-0.10582466993332984,hold
155,2017-04-06,-0.39328227998350895,appreciation
156,2017-04-06,-0.39328227998350895,appreciation
157,2017-05-04,0.3116478379431298,depreciation
158,2017-06-07,-0.12435142957512024,hold
159,2017-06-29,-0.07736488995617741,hold
160,2017-08-02,-0.1883756524469149,hold
161,2017-08-03,-0.17458555555729394,hold
162,2017-09-27,-0.6582081216033653,appreciation
163,2017-10-04,0.5517612674972971,depreciation
164,2017-11-02,-0.09874433729084586,hold
165,2017-12-06,-0.09501106654185021,hold
166,2017-12-21,-0.031219512195113097,hold
167,2018-02-01,0.06638291225742332,hold
168,2018-02-07,0.17500194446604667,hold
169,2018-03-29,0.0,hold
170,2018-04-05,0.02108908985953839,hold
171,2018-05-03,0.3394164198320171,depreciation
172,2018-06-06,0.8721859786802177,depreciation
173,2018-06-27,-0.23865792073292091,appreciation
174,2018-08-01,0.26128432644758615,depreciation
175,2018-08-02,-0.14553922282054543,hold
176,2018-09-26,-0.1790140457174516,hold
177,2018-10-05,0.0,hold
178,2018-11-01,-1.3835907740647913,appreciation
179,2018-12-05,0.4895964306291578,depreciation
180,2018-12-20,0.6689380626188068,depreciation
181,2019-02-07,-0.2030682762848124,appreciation
182,2019-02-07,-0.2030682762848124,appreciation
183,2019-03-28,-0.2757427170464455,appreciation
184,2019-04-04,0.10483317066118936,hold
185,2019-05-02,-0.2090316070205933,appreciation
186,2019-06-06,0.2723678683858477,depreciation
187,2019-06-26,-0.1915847310584029,appreciation
188,2019-08-01,0.7964377511493925,depreciation
189,2019-08-07,-0.13923234591689537,hold
190,2019-09-25,-0.6721565315315425,appreciation
191,2019-10-04,0.0,hold
192,2019-11-07,0.4509265130698159,depreciation
193,2019-12-05,-0.12624491513536507,hold
194,2019-12-18,0.20952131354505799,depreciation
195,2020-02-06,0.2967855025970412,depreciation
196,2020-02-06,0.2967855025970412,depreciation
197,2020-03-16,-0.008347638762651322,hold
198,2020-03-26,-0.31268711329918153,appreciation
199,2020-03-27,0.0,hold
200,2020-05-07,-0.2820563584768676,appreciation
201,2020-05-21,0.4612841367453768,depreciation
202,2020-06-16,-0.08856814826965209,hold
203,2020-06-24,-0.09746266902443956,hold
204,2020-07-15,-0.1729873586161168,hold
205,2020-08-06,0.010009676020161784,hold
206,2020-08-06,0.010009676020161784,hold
207,2020-09-01,0.8336764100452809,depreciation
208,2020-09-23,0.057768112002176686,hold
209,2020-10-08,-0.15182193144258616,hold
210,2020-10-15,-0.04769692014172655,hold
211,2020-11-05,-0.26038901069652676,appreciation
212,2020-12-03,-0.17598608343715183,hold
213,2020-12-07,-0.4566827915158611,appreciation
214,2020-12-17,-0.021199972820540314,hold
215,2021-01-27,0.041138832589626695,hold
216,2021-02-04,-0.046188933296065215,hold
217,2021-02-04,-0.046188933296065215,hold
218,2021-03-24,-0.07235391400222113,hold
219,2021-03-30,-0.37132929072699605,appreciation
220,2021-04-06,1.5833560337782604,depreciation
221,2021-05-06,-0.338931579204238,appreciation
222,2021-05-13,-0.1771844693250202,hold
223,2021-06-03,0.12686874228500233,hold
224,2021-06-08,0.21771040537761355,depreciation
225,2021-06-23,-0.11106623586428777,hold
226,2021-07-14,-0.038611073870498114,hold
227,2021-08-05,-0.03033367037410528,hold
228,2021-08-05,-0.03033367037410528,hold
229,2021-08-31,0.08382838193417008,hold
230,2021-09-30,-0.1532891156645788,hold
231,2021-10-07,0.2792003744066296,depreciation
232,2021-10-13,-0.1541651796316268,hold
233,2021-11-04,0.0,hold
234,2021-12-07,0.11772317025313672,hold
235,2021-12-14,0.2949782522736255,depreciation
236,2021-12-22,-0.7048191096645562,appreciation
237,2022-01-26,0.3527860468972799,depreciation
238,2022-02-03,-0.21867485973818823,appreciation
239,2022-02-09,0.7619556862613841,depreciation
240,2022-03-29,-0.26491199210396665,appreciation
241,2022-03-31,0.0,hold
242,2022-04-07,-0.07240652975248896,hold
243,2022-05-04,0.6657838400862648,depreciation
244,2022-05-05,0.875266349778725,depreciation
245,2022-05-05,0.875266349778725,depreciation
246,2022-05-12,0.025831449790114647,hold
247,2022-06-07,0.07077596190967483,hold
248,2022-06-07,0.07077596190967483,hold
249,2022-06-22,-0.054091153800028824,hold
250,2022-07-13,0.3076536698687571,depreciation
251,2022-08-04,-0.28160684513510725,appreciation
252,2022-08-04,-0.28160684513510725,appreciation
253,2022-09-06,-0.15193361515579706,hold
254,2022-09-29,-0.610761075007904,appreciation
255,2022-09-29,-0.610761075007904,appreciation
256,2022-10-12,0.03341027821650577,hold
257,2022-11-03,-0.5504799659312831,appreciation
258,2022-12-06,-0.2148650284469089,appreciation
259,2022-12-06,-0.2148650284469089,appreciation
260,2022-12-21,0.05880399673983128,hold
261,2023-01-26,-0.08260947900874394,hold
262,2023-02-02,-0.4152952270860655,appreciation
263,2023-02-07,-0.21910202028507797,appreciation
264,2023-03-29,-0.1882495825110131,hold
265,2023-04-04,-0.5283454285974543,appreciation
266,2023-04-05,-0.12658335904431883,hold
267,2023-05-03,-0.03666137113528256,hold
268,2023-05-12,0.0,hold
269,2023-06-07,-0.09994245737302565,hold
270,2023-06-19,0.11288403453642015,hold
271,2023-06-21,-0.0014627902724440034,hold
272,2023-07-28,0.0,hold
273,2023-08-03,0.13296072098554212,hold
274,2023-08-09,0.019559902200483315,hold
275,2023-09-05,0.21074815595365504,depreciation
276,2023-09-27,-0.22684455380830304,appreciation
277,2023-10-05,-0.012131214094301956,hold
278,2023-10-26,0.015018171988101514,hold
279,2023-11-02,0.03747576687189724,hold
280,2023-12-07,0.032989957856832675,hold
281,2023-12-19,0.10819258279737287,hold
282,2023-12-21,-0.1501050735514875,hold
283,2024-01-31,-0.1399305405027973,hold
284,2024-02-07,0.07677584827068262,hold
285,2024-02-08,0.09342414562112378,hold
286,2024-03-20,0.3081688183174558,depreciation
287,2024-04-02,0.07339555165390976,hold
288,2024-04-04,-0.1827551081550638,hold
289,2024-05-02,-0.04492766645699531,hold
290,2024-05-23,-0.22058117195005167,appreciation
291,2024-06-06,-0.1167979395645613,hold
292,2024-06-18,0.28028968862428005,depreciation
293,2024-06-27,-0.08387120737395337,hold
294,2024-07-31,0.0238870144217751,hold
295,2024-08-01,0.028307363019841603,hold
296,2024-08-07,0.004526369077750836,hold
297,2024-09-03,0.019412573154431456,hold
298,2024-09-25,0.1151862896020095,hold
299,2024-10-08,0.016435673987702515,hold
300,2024-10-17,0.004401094326178523,hold
301,2024-11-07,-0.001540717002290748,hold
302,2024-12-05,-0.04425562046379561,hold
303,2024-12-17,0.20611878331027178,depreciation
304,2024-12-19,-0.06617495812641927,hold
