Date,Filename,vader_sentiment,tfidf_sentiment
1970-05-31,200570.txt,2.7355,5.076746178845228
1970-06-30,170670.txt,9.997,4.806041738216704
1970-07-31,150770.txt,9.9775,5.132285256422041
1970-08-31,120870.txt,9.992,6.024988287592254
1970-09-30,090970.txt,9.999500000000001,6.155157329668371
1970-10-31,141070.txt,9.9955,7.002338187787978
1970-11-30,111170.txt,9.997,5.488004097539865
1970-12-31,091270.txt,9.999,5.46026862518076
1971-01-31,120171.txt,9.999500000000001,6.399163824190465
1971-02-28,030271.txt,9.997,6.791427925479168
1971-03-31,090371.txt,9.999,6.315847811504451
1971-04-30,060471.txt,9.999,6.828396617675137
1971-05-31,050571.txt,10.0,7.673287856385738
1971-06-30,230671.txt,9.999500000000001,7.236483265216039
1971-07-31,210771.txt,9.999500000000001,6.91282514039087
1971-08-31,180871.txt,9.999500000000001,6.5873762138710354
1971-09-30,150971.txt,10.0,7.48034382012601
1971-10-31,131071.txt,9.999500000000001,7.6943614914545275
1971-11-30,101171.txt,9.999500000000001,6.586784007587203
1971-12-31,081271.txt,10.0,6.678609913813558
1972-02-29,090272.txt,10.0,6.867398014728662
1972-03-31,150372.txt,10.0,7.910868594999914
1972-04-30,120472.txt,10.0,7.261604497571175
1972-05-31,170572.txt,10.0,7.930667580057838
1972-06-30,140672.txt,10.0,8.173688064980901
1972-07-31,180772.txt,10.0,8.165917634687531
1972-08-31,090872.txt,10.0,7.950487194455735
1972-09-30,130972.txt,10.0,7.2562720896165365
1972-10-31,111072.txt,10.0,8.097449894988191
1972-11-30,141172.txt,10.0,8.409945108883743
1972-12-31,191272.txt,10.0,7.784728882683759
1973-01-31,100173.txt,9.999500000000001,8.027205112769032
1973-02-28,070273.txt,9.999500000000001,7.651181858441533
1973-03-31,140373.txt,9.999500000000001,6.9978534146054105
1973-04-30,110473.txt,9.999500000000001,6.71407571372826
1973-05-31,090573.txt,9.999500000000001,6.979058488156629
1973-06-30,130673.txt,9.9985,6.042195667419681
1973-07-31,110773.txt,9.965499999999999,6.54800851603623
1973-08-31,100873.txt,9.999500000000001,7.1569316018109355
1973-09-30,120973.txt,9.999500000000001,6.1167750413442885
1973-10-31,101073.txt,9.999,6.4321879603939225
1973-11-30,141173.txt,9.998000000000001,5.067592271055318
1973-12-31,121273.txt,0.3365,4.592149605209759
1974-01-31,160174.txt,9.9945,5.375800948959147
1974-02-28,130274.txt,1.6829999999999998,5.970422446807882
1974-03-31,130374.txt,9.998000000000001,6.057834389156513
1974-04-30,100474.txt,9.9985,7.412478269242811
1974-05-31,150574.txt,9.999500000000001,7.071416253488849
1974-06-30,120674.txt,9.997,5.8366065882335825
1974-07-31,100774.txt,9.9975,6.113034153975727
1974-08-31,140874.txt,9.999,5.109781048651585
1974-09-30,050974.txt,9.993500000000001,5.696396397950534
1974-10-31,091074.txt,9.9985,5.1413991590861565
1974-12-31,111274.txt,0.01699999999999946,4.0751526719000495
1975-01-31,150175.txt,8.165,4.516443689915771
1975-02-28,120275.txt,0.15799999999999947,4.674956122504621
1975-02-28,110275.txt,10.0,7.134476954231235
1975-03-31,120375.txt,9.9975,5.391847021990376
1975-04-30,090475.txt,9.9985,5.305237807066957
1975-05-31,140575.txt,9.999500000000001,6.055947082719491
1975-06-30,110675.txt,10.0,6.2892334522351545
1975-07-31,090775.txt,10.0,6.768335627604916
1975-08-31,130875.txt,9.999500000000001,7.0130179404084965
1975-09-30,100975.txt,10.0,6.956492783133058
1975-10-31,211075.txt,10.0,7.440692785310275
1975-11-30,121175.txt,10.0,7.59541532143235
1975-12-31,101275.txt,10.0,7.126282341687582
1976-01-31,140176.txt,10.0,6.852069052269648
1976-02-29,110276.txt,10.0,7.134476954231236
1976-03-31,100376.txt,10.0,7.586560770178268
1976-04-30,140476.txt,10.0,7.243513352672224
1976-05-31,120576.txt,10.0,7.556472206208311
1976-06-30,160676.txt,9.722000000000001,6.623245570347578
1976-07-31,140776.txt,10.0,6.887473461575228
1976-08-31,110876.txt,10.0,6.521531988381587
1976-09-30,150976.txt,9.999500000000001,6.9226428449749715
1976-10-31,131076.txt,10.0,6.46542938221485
1976-11-30,101176.txt,10.0,6.53108929536326
1976-12-31,151276.txt,10.0,7.040412856014292
1977-01-31,130177.txt,10.0,7.682916708253575
1977-02-28,090277.txt,9.9975,6.829265210216368
1977-03-31,090377.txt,9.999500000000001,7.6839672547734565
1977-04-30,120477.txt,10.0,8.004590513065056
1977-05-31,100577.txt,10.0,7.59286730785611
1977-06-30,150677.txt,10.0,7.626478602220741
1977-07-31,130777.txt,10.0,7.504845361070906
1977-08-31,100877.txt,9.999500000000001,7.0479622747011845
1977-09-30,140977.txt,10.0,6.883676059232613
1977-10-31,111077.txt,10.0,7.135050737117431
1977-11-30,091177.txt,10.0,7.012164646057061
1977-12-31,141277.txt,10.0,7.359153410023269
1978-01-31,110178.txt,10.0,7.2289881060197825
1978-02-28,210278.txt,9.999500000000001,6.514050941071234
1978-03-31,150378.txt,9.999500000000001,6.113003011128329
1978-04-30,120478.txt,10.0,7.283161943256657
1978-05-31,100578.txt,10.0,7.552987512578987
1978-06-30,140678.txt,9.999500000000001,7.026954286741015
1978-07-31,120778.txt,10.0,6.275766790887061
1978-08-31,090878.txt,10.0,6.669543997846283
1978-09-30,130978.txt,10.0,6.36308132605201
1978-10-31,111078.txt,10.0,6.808308915921243
1978-11-30,151178.txt,10.0,5.729320340400852
1978-12-31,131278.txt,9.999500000000001,5.738065985003827
1979-01-31,310179.txt,9.999500000000001,5.431989781282913
1979-03-31,140379.txt,10.0,6.48723005186088
1979-04-30,110479.txt,10.0,6.816226661313564
1979-05-31,160579.txt,9.999500000000001,6.267533498385557
1979-07-31,050779.txt,9.9975,4.496360686896546
1979-08-31,010879.txt,9.999500000000001,4.817812443605386
1979-09-30,120979.txt,9.999,4.721695544125557
1979-10-31,101079.txt,9.999,5.680611964226657
1979-11-30,141179.txt,10.0,5.26244142452139
1980-01-31,290180.txt,10.0,5.26035138773122
1980-03-31,110380.txt,10.0,5.527626403628676
1980-04-30,150480.txt,9.999500000000001,4.6072710906220005
1980-05-31,140580.txt,9.967500000000001,3.394135049245491
1980-07-31,010780.txt,0.004000000000000448,3.8533153032662866
1980-08-31,050880.txt,9.999,4.841203321331941
1980-09-30,090980.txt,10.0,5.790405189188727
1980-10-31,141080.txt,10.0,6.20529966235245
1980-11-30,121180.txt,10.0,6.008276792891385
1980-12-31,101280.txt,10.0,5.032756311084874
1981-01-31,280181.txt,10.0,6.1545499106798545
1981-03-31,250381.txt,9.999500000000001,5.763912666519651
1981-05-31,130581.txt,9.999500000000001,6.493497091071174
1981-06-30,300681.txt,10.0,6.116471297735507
1981-08-31,110881.txt,9.999500000000001,5.650307141045487
1981-09-30,300981.txt,9.999,5.3864420724046305
1981-11-30,101181.txt,9.994,4.3844358809657065
1981-12-31,161281.txt,0.009999999999999787,4.213336807932716
1982-01-31,270182.txt,9.996500000000001,5.3324034198739785
1982-03-31,230382.txt,0.11399999999999988,5.1147046038865405
1982-05-31,120582.txt,9.9835,4.745583275845337
1982-06-30,230682.txt,9.999,5.407441965571282
1982-08-31,180882.txt,9.999,5.3755492560367975
1982-09-30,290982.txt,9.999,5.5427278199652985
1982-11-30,161182.txt,9.997,5.384856960316266
1982-12-31,151282.txt,10.0,5.884706469654993
1983-02-28,020283.txt,10.0,6.712283359383287
1983-03-31,230383.txt,10.0,7.311608809231474
1983-05-31,180583.txt,10.0,7.050019322307074
1983-07-31,010783.txt,10.0,7.080062073566518
1983-08-31,100883.txt,10.0,7.6548154642070285
1983-09-30,200983.txt,10.0,6.812809980510109
1983-11-30,021183.txt,10.0,7.582437638661635
1983-12-31,061283.txt,10.0,7.1714947151998345
1984-01-31,200184.txt,10.0,7.751028797200877
1984-03-31,130384.txt,10.0,7.964540786119181
1984-05-31,080584.txt,10.0,7.400110496913875
1984-06-30,250684.txt,10.0,6.683531258138519
1984-08-31,060884.txt,10.0,6.5278929243567
1984-09-30,160984.txt,10.0,6.366237791947565
1984-10-31,231084.txt,10.0,6.184143343526501
1984-12-31,051284.txt,10.0,5.887121183960592
1985-01-31,300185.txt,10.0,6.41433299990458
1985-03-31,120385.txt,10.0,6.311417755243564
1985-05-31,060585.txt,10.0,6.0409319219457664
1985-06-30,250685.txt,10.0,5.923052670058381
1985-08-31,060885.txt,10.0,5.625066190951758
1985-09-30,160985.txt,9.999500000000001,5.964511205827036
1985-10-31,231085.txt,10.0,6.244962561498555
1985-12-31,051285.txt,10.0,5.3106657003828035
1986-01-31,280186.txt,10.0,5.959429235398227
1986-03-31,200386.txt,10.0,6.003597963567532
1986-05-31,060586.txt,10.0,6.316885783332322
1986-06-30,240686.txt,10.0,5.984099424480597
1986-08-31,050886.txt,10.0,5.846515167157367
1986-09-30,100986.txt,10.0,5.633370154473782
1986-10-31,231086.txt,10.0,5.7826477846212665
1986-12-31,011286.txt,10.0,6.680400550782188
1987-01-31,280187.txt,10.0,6.439146822534051
1987-03-31,160387.txt,10.0,6.31790998343224
1987-05-31,040587.txt,10.0,6.524637381928478
1987-06-30,230687.txt,10.0,6.521873849009789
1987-08-31,030887.txt,10.0,6.530547395927441
1987-09-30,080987.txt,10.0,6.360249729207105
1987-10-31,271087.txt,10.0,6.838083421740109
1987-12-31,011287.txt,9.999500000000001,4.8228147325486415
1988-01-31,270188.txt,10.0,6.409774068293078
1988-03-31,150388.txt,10.0,6.332842690755577
1988-05-31,040588.txt,10.0,7.150308558542722
1988-06-30,150688.txt,10.0,6.322017437177693
1988-08-31,020888.txt,10.0,6.737554744151975
1988-09-30,060988.txt,10.0,6.19098933838418
1988-10-31,181088.txt,10.0,5.997158069271581
1988-11-30,301188.txt,10.0,6.359292068257489
1989-01-31,250189.txt,10.0,6.361600956476866
1989-03-31,150389.txt,10.0,7.241066776963962
1989-05-31,030589.txt,10.0,6.226812702349669
1989-06-30,210689.txt,10.0,6.2304030300196125
1989-08-31,090889.txt,10.0,5.427397737774181
1989-09-30,200989.txt,10.0,6.12951746085977
1989-11-30,011189.txt,10.0,5.635448253813693
1989-12-31,061289.txt,10.0,5.671375679003693
1990-01-31,240190.txt,10.0,5.785055662565655
1990-03-31,140390.txt,9.999500000000001,5.31850272560318
1990-05-31,020590.txt,10.0,6.242649751823356
1990-06-30,200690.txt,10.0,5.4769889428909275
1990-08-31,080890.txt,10.0,5.609780299768168
1990-09-30,190990.txt,9.999500000000001,5.245001036445217
1990-10-31,311090.txt,9.999,4.82386866617217
1990-12-31,051290.txt,9.999500000000001,4.3129001381632515
1991-01-31,230191.txt,0.06350000000000033,4.339173024870103
1991-03-31,130391.txt,9.9985,4.7791958272177215
1991-05-31,010591.txt,10.0,5.586571395523699
1991-06-30,190691.txt,10.0,5.811022486162097
1991-08-31,070891.txt,10.0,5.942324737124027
1991-09-30,180991.txt,9.999,5.63847805950306
1991-10-31,231091.txt,9.999500000000001,5.191302163814421
1991-12-31,041291.txt,9.999500000000001,4.954431247599975
1992-01-31,220192.txt,9.999500000000001,5.0754833048731705
1992-03-31,180392.txt,10.0,6.122726391977784
1992-05-31,060592.txt,10.0,6.843170630418485
1992-06-30,170692.txt,10.0,6.788979809906195
1992-08-31,050892.txt,10.0,6.0975384829416
1992-09-30,230992.txt,10.0,6.067023159408911
1992-11-30,041192.txt,10.0,6.178550142046144
1992-12-31,091292.txt,10.0,6.806390456340203
1993-01-31,210193.txt,10.0,6.493230465401422
1993-03-31,100393.txt,10.0,6.9511788637398375
1993-05-31,050593.txt,10.0,6.89788186056234
1993-06-30,230693.txt,10.0,6.625546274410583
1993-08-31,040893.txt,10.0,6.477630287018554
1993-09-30,080993.txt,10.0,6.7302508937625936
1993-11-30,031193.txt,10.0,6.967452838762825
1993-12-31,081293.txt,10.0,7.264880054736075
1994-01-31,190194.txt,10.0,7.415775577458839
1994-03-31,090394.txt,10.0,7.129614314684767
1994-05-31,040594.txt,10.0,7.93509335236016
1994-06-30,220694.txt,10.0,7.21317798340957
1994-08-31,030894.txt,10.0,7.151914050244957
1994-09-30,140994.txt,10.0,6.529644944076149
1994-11-30,021194.txt,10.0,7.091643299746111
1994-12-31,071294.txt,10.0,7.130514309916785
1995-01-31,180195.txt,10.0,7.179374797035905
1995-03-31,150395.txt,10.0,6.4979961425668336
1995-05-31,100595.txt,10.0,6.2526931926593665
1995-06-30,210695.txt,10.0,5.855038787652423
1995-08-31,090895.txt,10.0,6.139529071788674
1995-09-30,130995.txt,10.0,6.353482550594782
1995-11-30,011195.txt,10.0,6.388024045132542
1995-12-31,061295.txt,10.0,6.881214378437017
1996-01-31,170196.txt,10.0,5.800301718022178
1996-03-31,130396.txt,10.0,6.054943459882702
1996-05-31,080596.txt,10.0,7.107443700496641
1996-06-30,190696.txt,10.0,7.2690433874672316
1996-08-31,070896.txt,10.0,6.569942357784552
1996-09-30,110996.txt,10.0,6.829688917007957
1996-10-31,301096.txt,10.0,6.776046872285438
1996-12-31,041296.txt,10.0,6.542643222045673
1997-01-31,220197.txt,10.0,6.838942391787322
1997-03-31,120397.txt,10.0,6.987351517537359
1997-06-30,180697.txt,10.0,7.091392793311175
1997-08-31,060897.txt,10.0,6.643919695781668
1997-09-30,170997.txt,10.0,7.277865457934342
1997-10-31,291097.txt,10.0,7.3522619017063064
1997-12-31,031297.txt,10.0,7.3522619017063064
1998-01-31,210198.txt,10.0,6.064522865021831
1998-03-31,180398.txt,10.0,6.692113002587917
1998-06-30,190698.txt,10.0,7.1402896479440585
1998-08-31,050898.txt,10.0,6.945297851747072
1998-09-30,160998.txt,10.0,5.392085784068084
1998-11-30,041198.txt,10.0,5.047127650839445
1998-12-31,091298.txt,10.0,5.877997963616986
1999-01-31,200199.txt,10.0,6.748369314845544
1999-03-31,170399.txt,10.0,6.769731243049594
1999-05-31,050599.txt,10.0,7.213020546895129
1999-05-31,160599.txt,10.0,7.38098711035087
1999-08-31,110899.txt,10.0,6.713302190808895
1999-09-30,220999.txt,10.0,7.149068682230451
1999-11-30,031199.txt,10.0,6.697698321843173
1999-12-31,081299.txt,10.0,6.769616062489567
2000-01-31,190100.txt,10.0,7.103073133076629
2000-03-31,080300.txt,10.0,7.179043731408536
2000-05-31,060500.txt,10.0,7.158011892426698
2000-05-31,140500.txt,10.0,7.033748204283695
2000-08-31,090800.txt,10.0,6.489902038272749
2000-09-30,200900.txt,10.0,6.8643267708197335
2000-11-30,011100.txt,10.0,6.140217127720311
2000-12-31,061200.txt,10.0,6.216695737026981
2001-01-31,170101.txt,10.0,4.620800164748879
2001-03-31,070301.txt,10.0,5.166756299241153
2001-05-31,020501.txt,10.0,4.945719174789573
2001-06-30,130601.txt,10.0,4.800431891727163
2001-08-31,080801.txt,9.999500000000001,4.799509202975119
2001-09-30,190901.txt,10.0,4.734242185921208
2001-10-31,241001.txt,0.0,3.65790280748097
2001-11-30,281101.txt,9.999,3.9178530991986813
2002-01-31,160102.txt,10.0,4.714312334719166
2002-03-31,060302.txt,10.0,5.466003974716973
2002-04-30,240402.txt,10.0,6.425569908397916
2002-06-30,290602.txt,10.0,5.9700850194501225
2002-06-30,120602.txt,10.0,6.140139682120516
2002-09-30,110902.txt,10.0,5.788690830100412
2002-10-31,231002.txt,9.999500000000001,5.083904741349106
2002-11-30,271102.txt,9.999500000000001,4.952058025355133
2003-01-31,150103.txt,10.0,5.449405060367584
2003-03-31,050303.txt,9.999500000000001,5.431696302690168
2003-04-30,230403.txt,9.9985,5.286611228738481
2003-06-30,110603.txt,10.0,5.754316691745519
2003-07-31,300703.txt,10.0,6.03239316897821
2003-10-31,151003.txt,10.0,6.430656000095489
2003-11-30,261103.txt,10.0,6.997810959213379
2004-01-31,140104.txt,10.0,6.935032389271846
2004-03-31,030304.txt,10.0,7.044026069982166
2004-04-30,210404.txt,10.0,7.324534254954565
2004-06-30,160604.txt,10.0,7.9167022251624495
2004-07-31,280704.txt,10.0,7.2483578484569176
2004-09-30,080904.txt,10.0,6.633661452371685
2004-10-31,271004.txt,10.0,6.92455430506261
2004-12-31,011204.txt,10.0,7.057650590306167
2005-01-31,190105.txt,10.0,7.167149928144642
2005-03-31,090305.txt,10.0,6.887412950720355
2005-04-30,200405.txt,10.0,7.4738662974471035
2005-06-30,150605.txt,10.0,6.999105322330036
2005-07-31,270705.txt,10.0,7.613941378745955
2005-09-30,070905.txt,10.0,7.169861750621432
2005-10-31,191005.txt,10.0,7.149889226108172
2005-11-30,301105.txt,10.0,7.023755353115768
2006-01-31,180106.txt,10.0,7.362695707517728
2006-03-31,150306.txt,10.0,6.65848239751016
2006-04-30,260406.txt,10.0,7.229388226757841
2006-06-30,140606.txt,10.0,6.907442392924835
2006-07-31,260706.txt,10.0,6.712716447356105
2006-09-30,060906.txt,10.0,6.314015917647966
2006-10-31,121006.txt,10.0,6.827413945277041
2006-11-30,291106.txt,10.0,6.312222489832253
2007-01-31,170107.txt,10.0,6.130368855669587
2007-03-31,070307.txt,10.0,6.078697139885529
2007-04-30,250407.txt,10.0,6.489740282571354
2007-06-30,130607.txt,10.0,6.650725781894509
2007-07-31,250707.txt,10.0,6.201477059284685
2007-09-30,170907.txt,10.0,6.188075207157815
2007-09-30,050907.txt,10.0,5.699483191186004
2007-11-30,281107.txt,10.0,5.708068240496206
2008-01-31,160108.txt,10.0,5.368564059476238
2008-03-31,050308.txt,10.0,5.167792830983193
2008-04-30,160408.txt,10.0,4.954391471219191
2008-06-30,110608.txt,10.0,5.371825327619089
2008-07-31,230708.txt,10.0,5.026092649745652
2008-09-30,030908.txt,10.0,4.244370220358618
2008-10-31,151008.txt,9.998000000000001,3.5408434425759445
2008-12-31,031208.txt,9.813500000000001,2.7585353039997558
2009-01-31,140109.txt,9.884,2.6656007834786237
2009-03-31,040309.txt,0.006999999999999673,2.651403837752921
2009-04-30,150409.txt,9.9955,3.118966999608888
2009-06-30,100609.txt,9.995999999999999,3.9976930317046753
2009-07-31,290709.txt,9.999500000000001,3.9705035013588557
2009-09-30,090909.txt,9.999500000000001,4.797165460098513
2009-10-31,211009.txt,10.0,4.191874218759299
2009-12-31,021209.txt,10.0,5.0629481720803655
2010-01-31,130110.txt,10.0,5.310034395337993
2010-03-31,030310.txt,10.0,5.562890017296541
2010-04-30,140410.txt,10.0,6.041886992281308
2010-06-30,090610.txt,10.0,6.790402715324081
2010-07-31,280710.txt,10.0,5.569068761950634
2010-09-30,080910.txt,10.0,5.567555530895939
2010-10-31,201010.txt,10.0,6.2645875801014
2010-12-31,011210.txt,10.0,6.451405774895131
2011-01-31,120111.txt,10.0,6.563109088837477
2011-03-31,020311.txt,10.0,6.688599101681843
2011-04-30,130411.txt,10.0,6.608815742770945
2011-06-30,080611.txt,10.0,6.622422814241071
2011-07-31,270711.txt,10.0,5.7968161392566575
2011-09-30,070911.txt,10.0,5.493300688995403
2011-10-31,191011.txt,10.0,5.4501542244967665
2011-11-30,031111.txt,10.0,5.793069247673536
2012-01-31,110112.txt,10.0,6.055895771221132
2012-02-29,290212.txt,10.0,6.719364259042825
2012-04-30,110412.txt,10.0,7.498852899462029
2012-06-30,060612.txt,10.0,6.898889234291793
2012-07-31,180712.txt,10.0,6.5020591913393915
2012-08-31,290812.txt,10.0,6.28667688512635
2012-10-31,101012.txt,10.0,6.461588892982187
2012-11-30,281112.txt,10.0,5.924735071446342
2013-01-31,160113.txt,10.0,6.274692631595607
2013-03-31,060313.txt,10.0,6.590686110872589
2013-04-30,170413.txt,10.0,7.061423749084458
2013-06-30,050613.txt,10.0,6.934888434737964
2013-07-31,170713.txt,10.0,7.047837693497372
2013-09-30,040913.txt,10.0,6.567622710702544
2013-10-31,161013.txt,10.0,6.596395265502196
2013-12-31,041213.txt,10.0,6.522315774320785
2014-01-31,150114.txt,10.0,6.808248329617355
2014-03-31,050314.txt,10.0,6.4733168069099305
2014-04-30,160414.txt,10.0,6.809521592054508
2014-06-30,040614.txt,10.0,7.090468973220892
2014-07-31,160714.txt,10.0,7.1845561936679765
2014-09-30,030914.txt,10.0,7.356229021724808
2014-10-31,151014.txt,10.0,7.111956069151669
2014-12-31,031214.txt,10.0,6.820235772153575
2015-01-31,140115.txt,10.0,6.3303863468188055
2015-03-31,040315.txt,10.0,6.396315071852516
2015-04-30,150415.txt,10.0,5.940454124973317
2015-06-30,030615.txt,10.0,6.274825058308907
2015-07-31,150715.txt,10.0,6.467235196879571
2015-09-30,020915.txt,10.0,6.311631672707544
2015-10-31,141015.txt,10.0,6.069698907608528
2015-12-31,021215.txt,10.0,5.945845555994784
2016-01-31,130116.txt,10.0,5.867265558428065
2016-03-31,020316.txt,10.0,5.454207462069512
2016-04-30,130416.txt,10.0,6.462148380197996
2016-06-30,010616.txt,10.0,6.112571080192074
2016-07-31,130716.txt,10.0,6.037567068134356
2016-09-30,070916.txt,10.0,5.785977580221964
2016-10-31,191016.txt,10.0,5.900572604567017
2016-11-30,301116.txt,10.0,5.841058431396272
2017-01-31,180117.txt,10.0,6.3395137820276
2017-03-31,170317.txt,10.0,6.641581480323552
2017-04-30,190417.txt,10.0,6.323169782472936
2017-05-31,310517.txt,10.0,6.502039723208919
2017-07-31,120717.txt,10.0,6.4071338384606396
2017-09-30,060917.txt,10.0,6.05661327178947
2017-10-31,181017.txt,10.0,6.3518013852353485
2017-11-30,291117.txt,10.0,6.539625862214541
2018-01-31,170118.txt,10.0,6.6242608297289465
2018-03-31,070318.txt,10.0,6.581471094827343
2018-04-30,180418.txt,10.0,6.66876639759368
2018-05-31,300518.txt,10.0,6.991263392117057
2018-07-31,180718.txt,10.0,7.147454969211429
2018-09-30,120918.txt,10.0,7.14297854863735
2018-10-31,241018.txt,10.0,6.718243014387101
2018-12-31,051218.txt,10.0,6.514097419085731
2019-01-31,160119.txt,10.0,6.116111646585598
2019-03-31,060319.txt,10.0,5.686144835684115
2019-04-30,170419.txt,10.0,6.523271602344661
2019-06-30,050619.txt,10.0,6.221900455422773
2019-07-31,170719.txt,10.0,5.944808572912981
2019-09-30,040919.txt,10.0,5.475904110948442
2019-11-30,271119.txt,10.0,5.879115730951255
2020-01-31,150120.txt,10.0,6.1514639402729845
2020-03-31,040320.txt,10.0,6.460958851324984
2020-04-30,150420.txt,0.020999999999999908,3.0324693580507267
2020-05-31,270520.txt,0.0030000000000001137,2.779778900910397
2020-07-31,150720.txt,10.0,5.189515384679251
2020-09-30,020920.txt,10.0,6.148925894543852
2020-10-31,211020.txt,10.0,6.583266336530517
2020-12-31,021220.txt,10.0,6.436157338744896
2021-01-31,170121.txt,10.0,5.243464093405758
2021-01-31,130121.txt,10.0,6.388640533348708
2021-03-31,030321.txt,10.0,6.7424109717575
2021-04-30,140421.txt,10.0,7.587924360000999
2021-06-30,020621.txt,10.0,7.757399581643682
2021-07-31,140721.txt,10.0,7.845379105021811
2021-09-30,080921.txt,10.0,7.6474413854529395
2021-10-31,201021.txt,10.0,7.376545307402211
2021-12-31,011221.txt,10.0,7.346069752450894
2022-01-31,210122.txt,10.0,7.7321194081564375
2022-04-30,200422.txt,10.0,7.577731283100295
2022-06-30,010622.txt,10.0,6.85145994640639
2022-07-31,130722.txt,10.0,5.986211289116534
2022-09-30,070922.txt,10.0,5.786359187735818
2022-10-31,191022.txt,10.0,5.821941456029303
2022-11-30,301122.txt,10.0,5.138174947431522
2023-01-31,180123.txt,10.0,5.121187380665851
2023-03-31,080323.txt,10.0,5.543352495587004
2023-04-30,190423.txt,10.0,5.1914750545111605
2023-05-31,310523.txt,10.0,5.206542421993991
2023-07-31,120723.txt,10.0,5.478060724984232
2023-09-30,060923.txt,10.0,5.473505154411079
2023-10-31,181023.txt,10.0,5.358791983767661
2023-11-30,291123.txt,10.0,4.99438439135003
2024-03-31,060324.txt,10.0,5.243464093405758
2024-04-30,170424.txt,10.0,5.851061710221769
2024-05-31,290524.txt,10.0,5.627021473889562
2024-05-31,070524.txt,10.0,7.144376802869343
2024-07-31,170724.txt,10.0,5.101414973726153
2024-09-30,040924.txt,10.0,4.7000835984602904
2024-10-31,231024.txt,10.0,5.092034767552756
2024-12-31,041224.txt,10.0,5.440448159425353
2025-01-31,150125.txt,10.0,6.010708220452891
2025-03-31,060325.txt,10.0,5.522347015268797
2025-04-30,230425.txt,9.999500000000001,4.7946277134492945
